Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
Q66T72	PSIP1_FELCA	reviewed	PC4 and SFRS1-interacting protein (LEDGF/p75) (Lens epithelium-derived growth factor) (Transcription coactivator p75)	PSIP1 LEDGF	Felis catus (Cat) (Felis silvestris catus)	530	mRNA 5'-splice site recognition [GO:0000395]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]	nuclear heterochromatin [GO:0005720]; nucleoplasm [GO:0005654]; transcriptionally active chromatin [GO:0035327]	nuclear heterochromatin [GO:0005720]; nucleoplasm [GO:0005654]; transcriptionally active chromatin [GO:0035327]; activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; supercoiled DNA binding [GO:0097100]; transcription coactivator activity [GO:0003713]; mRNA 5'-splice site recognition [GO:0000395]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]	activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; supercoiled DNA binding [GO:0097100]; transcription coactivator activity [GO:0003713]	GO:0000395; GO:0003682; GO:0003713; GO:0005654; GO:0005720; GO:0006979; GO:0009408; GO:0033613; GO:0035327; GO:0045944; GO:0097100
Q26636	CATL_SARPE	reviewed	Cathepsin L (EC 3.4.22.15) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain]		Sarcophaga peregrina (Flesh fly) (Boettcherisca peregrina)	339	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]	lysosome [GO:0005764]	lysosome [GO:0005764]; cysteine-type peptidase activity [GO:0008234]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]	cysteine-type peptidase activity [GO:0008234]	GO:0005764; GO:0007275; GO:0008234; GO:0030154
Q8TD23	ZN675_HUMAN	reviewed	Zinc finger protein 675 (TRAF6-binding zinc finger protein) (TRAF6-inhibitory zinc finger protein)	ZNF675 TIZ	Homo sapiens (Human)	568	I-kappaB kinase/NF-kappaB signaling [GO:0007249]; bone resorption [GO:0045453]; cytokine-mediated signaling pathway [GO:0019221]; negative regulation of JNK cascade [GO:0046329]; negative regulation of JUN kinase activity [GO:0043508]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of interleukin-1-mediated signaling pathway [GO:2000660]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]	nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; DNA binding [GO:0003677]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]; bone resorption [GO:0045453]; cytokine-mediated signaling pathway [GO:0019221]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; negative regulation of interleukin-1-mediated signaling pathway [GO:2000660]; negative regulation of JNK cascade [GO:0046329]; negative regulation of JUN kinase activity [GO:0043508]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]	DNA binding [GO:0003677]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]	GO:0000122; GO:0003677; GO:0005634; GO:0007249; GO:0008270; GO:0010804; GO:0019221; GO:0031625; GO:0032088; GO:0043508; GO:0045453; GO:0045671; GO:0046329; GO:0048471; GO:2000660; GO:2000678
Q9GKL8	CATL1_CHLAE	reviewed	Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]	CTSL CTSL1	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)	333	viral entry into host cell [GO:0046718]	lysosome [GO:0005764]	lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; viral entry into host cell [GO:0046718]	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197; GO:0005764; GO:0046718
A0MSJ1	CRA1B_DANRE	reviewed	Collagen alpha-1(XXVII) chain B	col27a1b col27a1	Danio rerio (Zebrafish) (Brachydanio rerio)	1658	bone mineralization [GO:0030282]; extracellular matrix organization [GO:0030198]; notochord morphogenesis [GO:0048570]; skeletal system development [GO:0001501]	collagen trimer [GO:0005581]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]	collagen trimer [GO:0005581]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; extracellular matrix structural constituent [GO:0005201]; metal ion binding [GO:0046872]; bone mineralization [GO:0030282]; extracellular matrix organization [GO:0030198]; notochord morphogenesis [GO:0048570]; skeletal system development [GO:0001501]	extracellular matrix structural constituent [GO:0005201]; metal ion binding [GO:0046872]	GO:0001501; GO:0005201; GO:0005581; GO:0005615; GO:0030198; GO:0030282; GO:0031012; GO:0046872; GO:0048570
Q66PG1	LARG2_DANRE	reviewed	LARGE xylosyl- and glucuronyltransferase 2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) [Includes: Xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]	large2 gyltl1b si:ch211-206g24.1 si:ch211-282n12.1	Danio rerio (Zebrafish) (Brachydanio rerio)	750	protein O-linked mannosylation [GO:0035269]; protein glycosylation [GO:0006486]	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]; metal ion binding [GO:0046872]; transferase activity, transferring glycosyl groups [GO:0016757]; xylosyltransferase activity [GO:0042285]; protein glycosylation [GO:0006486]; protein O-linked mannosylation [GO:0035269]	glucuronosyltransferase activity [GO:0015020]; metal ion binding [GO:0046872]; transferase activity, transferring glycosyl groups [GO:0016757]; xylosyltransferase activity [GO:0042285]	GO:0000139; GO:0005794; GO:0006486; GO:0015020; GO:0016021; GO:0016757; GO:0035269; GO:0042285; GO:0046872
P49013	FBP3_STRPU	reviewed	Fibropellin-3 (Epidermal growth factor-related protein 3) (Fibropellin III) (Fibropellin-c) (SpEGF III)	EGF3	Strongylocentrotus purpuratus (Purple sea urchin)	570		extracellular space [GO:0005615]	extracellular space [GO:0005615]; biotin binding [GO:0009374]; calcium ion binding [GO:0005509]	biotin binding [GO:0009374]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005615; GO:0009374
E9Q5G3	KIF23_MOUSE	reviewed	Kinesin-like protein KIF23	Kif23	Mus musculus (Mouse)	953	actomyosin contractile ring assembly [GO:0000915]; microtubule-based movement [GO:0007018]; mitotic cytokinesis [GO:0000281]; mitotic spindle midzone assembly [GO:0051256]; plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of cytokinesis [GO:0032467]	Flemming body [GO:0090543]; centralspindlin complex [GO:0097149]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; intercellular bridge [GO:0045171]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]	centralspindlin complex [GO:0097149]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; Flemming body [GO:0090543]; intercellular bridge [GO:0045171]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; actomyosin contractile ring assembly [GO:0000915]; microtubule-based movement [GO:0007018]; mitotic cytokinesis [GO:0000281]; mitotic spindle midzone assembly [GO:0051256]; plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of cytokinesis [GO:0032467]	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]	GO:0000281; GO:0000915; GO:0003777; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887; GO:0030496; GO:0032467; GO:0045171; GO:0051256; GO:0072383; GO:0072686; GO:0090543; GO:0097149
Q95116	TSP2_BOVIN	reviewed	Thrombospondin-2 (Corticotropin-induced secreted protein) (CISP)	THBS2 TSP-2 TSP2	Bos taurus (Bovine)	1170	cell adhesion [GO:0007155]; negative regulation of angiogenesis [GO:0016525]	collagen-containing extracellular matrix [GO:0062023]	collagen-containing extracellular matrix [GO:0062023]; calcium ion binding [GO:0005509]; heparin binding [GO:0008201]; cell adhesion [GO:0007155]; negative regulation of angiogenesis [GO:0016525]	calcium ion binding [GO:0005509]; heparin binding [GO:0008201]	GO:0005509; GO:0007155; GO:0008201; GO:0016525; GO:0062023
P34457	YMD3_CAEEL	reviewed	Putative uncharacterized transposon-derived protein F54H12.3	F54H12.3	Caenorhabditis elegans	286	DNA integration [GO:0015074]		nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	nucleic acid binding [GO:0003676]	GO:0003676; GO:0015074
Q9D0S9	HINT2_MOUSE	reviewed	Histidine triad nucleotide-binding protein 2, mitochondrial (HINT-2) (EC 3.-.-.-) (HINT-3)	Hint2	Mus musculus (Mouse)	163	apoptotic process [GO:0006915]; lipid catabolic process [GO:0016042]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; steroid biosynthetic process [GO:0006694]	mitochondrion [GO:0005739]; nucleolus [GO:0005730]	mitochondrion [GO:0005739]; nucleolus [GO:0005730]; hydrolase activity [GO:0016787]; nucleotide binding [GO:0000166]; apoptotic process [GO:0006915]; lipid catabolic process [GO:0016042]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; steroid biosynthetic process [GO:0006694]	hydrolase activity [GO:0016787]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005730; GO:0005739; GO:0006694; GO:0006915; GO:0016042; GO:0016787; GO:2000757
P97742	CPT1A_MOUSE	reviewed	Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)	Cpt1a Cpt-1 Cpt1	Mus musculus (Mouse)	773	carnitine metabolic process [GO:0009437]; cellular response to fatty acid [GO:0071398]; eating behavior [GO:0042755]; epithelial cell differentiation [GO:0030855]; fatty acid beta-oxidation [GO:0006635]; glucose metabolic process [GO:0006006]; long-chain fatty acid metabolic process [GO:0001676]; positive regulation of fatty acid beta-oxidation [GO:0032000]; protein homooligomerization [GO:0051260]; regulation of fatty acid oxidation [GO:0046320]; regulation of insulin secretion [GO:0050796]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; triglyceride metabolic process [GO:0006641]	integral component of membrane [GO:0016021]; integral component of mitochondrial outer membrane [GO:0031307]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	integral component of membrane [GO:0016021]; integral component of mitochondrial outer membrane [GO:0031307]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; carnitine O-palmitoyltransferase activity [GO:0004095]; identical protein binding [GO:0042802]; palmitoleoyltransferase activity [GO:1990698]; carnitine metabolic process [GO:0009437]; cellular response to fatty acid [GO:0071398]; eating behavior [GO:0042755]; epithelial cell differentiation [GO:0030855]; fatty acid beta-oxidation [GO:0006635]; glucose metabolic process [GO:0006006]; long-chain fatty acid metabolic process [GO:0001676]; positive regulation of fatty acid beta-oxidation [GO:0032000]; protein homooligomerization [GO:0051260]; regulation of fatty acid oxidation [GO:0046320]; regulation of insulin secretion [GO:0050796]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; triglyceride metabolic process [GO:0006641]	carnitine O-palmitoyltransferase activity [GO:0004095]; identical protein binding [GO:0042802]; palmitoleoyltransferase activity [GO:1990698]	GO:0001676; GO:0004095; GO:0005739; GO:0005741; GO:0005743; GO:0006006; GO:0006635; GO:0006641; GO:0009437; GO:0014070; GO:0016021; GO:0030855; GO:0031307; GO:0032000; GO:0042493; GO:0042755; GO:0042802; GO:0043231; GO:0046320; GO:0050796; GO:0051260; GO:0071398; GO:1990698
P09645	TBA8_CHICK	reviewed	Tubulin alpha-8 chain (Fragment)		Gallus gallus (Chicken)	324	microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
Q32MH5	F214A_HUMAN	reviewed	Protein FAM214A	FAM214A KIAA1370	Homo sapiens (Human)	1076					
Q99081	HTF4_HUMAN	reviewed	Transcription factor 12 (TCF-12) (Class B basic helix-loop-helix protein 20) (bHLHb20) (DNA-binding protein HTF4) (E-box-binding protein) (Transcription factor HTF-4)	TCF12 BHLHB20 HEB HTF4	Homo sapiens (Human)	682	immune response [GO:0006955]; muscle organ development [GO:0007517]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of transcription by RNA polymerase II [GO:0006357]	RNA polymerase II transcription factor complex [GO:0090575]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nuclear chromatin [GO:0000790]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nuclear chromatin [GO:0000790]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]; transcription factor complex [GO:0005667]; bHLH transcription factor binding [GO:0043425]; cAMP response element binding [GO:0035497]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; enhancer binding [GO:0035326]; HMG box domain binding [GO:0071837]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; SMAD binding [GO:0046332]; transcription factor binding [GO:0008134]; immune response [GO:0006955]; muscle organ development [GO:0007517]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; HMG box domain binding [GO:0071837]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; SMAD binding [GO:0046332]; bHLH transcription factor binding [GO:0043425]; cAMP response element binding [GO:0035497]; enhancer binding [GO:0035326]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; transcription factor binding [GO:0008134]	GO:0000790; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006357; GO:0006955; GO:0007517; GO:0008134; GO:0016607; GO:0035326; GO:0035497; GO:0042803; GO:0043231; GO:0043425; GO:0045666; GO:0045944; GO:0046332; GO:0046982; GO:0070888; GO:0071837; GO:0090575; GO:1902036
Q6A098	SBP2L_MOUSE	reviewed	Selenocysteine insertion sequence-binding protein 2-like (SECIS-binding protein 2-like)	Secisbp2l Kiaa0256	Mus musculus (Mouse)	1086	selenocysteine incorporation [GO:0001514]	ribonucleoprotein complex [GO:1990904]	ribonucleoprotein complex [GO:1990904]; mRNA 3'-UTR binding [GO:0003730]; ribonucleoprotein complex binding [GO:0043021]; selenocysteine insertion sequence binding [GO:0035368]; selenocysteine incorporation [GO:0001514]	mRNA 3'-UTR binding [GO:0003730]; ribonucleoprotein complex binding [GO:0043021]; selenocysteine insertion sequence binding [GO:0035368]	GO:0001514; GO:0003730; GO:0035368; GO:0043021; GO:1990904
P41809	HKR1_YEAST	reviewed	Signaling mucin HKR1 (Hansenula MRAKII killer toxin-resistant protein 1)	HKR1 YDR420W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1802	(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cellular bud site selection [GO:0000282]; establishment of cell polarity [GO:0030010]; fungal-type cell wall organization [GO:0031505]; hyperosmotic response [GO:0006972]; osmosensory signaling pathway via Sho1 osmosensor [GO:0007232]; signal transduction involved in filamentous growth [GO:0001402]	cell surface [GO:0009986]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; site of polarized growth [GO:0030427]	cell surface [GO:0009986]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; site of polarized growth [GO:0030427]; osmosensor activity [GO:0005034]; (1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cellular bud site selection [GO:0000282]; establishment of cell polarity [GO:0030010]; fungal-type cell wall organization [GO:0031505]; hyperosmotic response [GO:0006972]; osmosensory signaling pathway via Sho1 osmosensor [GO:0007232]; signal transduction involved in filamentous growth [GO:0001402]	osmosensor activity [GO:0005034]	GO:0000282; GO:0001402; GO:0005034; GO:0005576; GO:0005886; GO:0005887; GO:0006075; GO:0006972; GO:0007232; GO:0009986; GO:0030010; GO:0030427; GO:0031505
