Entry	Entry name	Protein names	Gene ontology (biological process)
Q99828	CIB1_HUMAN	Calcium and integrin-binding protein 1 (CIB) (Calcium- and integrin-binding protein) (CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP) (SNK-interacting protein 2-28) (SIP2-28)	angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell adhesion [GO:0007155]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to growth factor stimulus [GO:0071363]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to tumor necrosis factor [GO:0071356]; cytoplasmic microtubule organization [GO:0031122]; double-strand break repair [GO:0006302]; endomitotic cell cycle [GO:0007113]; extrinsic apoptotic signaling pathway [GO:0097191]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of megakaryocyte differentiation [GO:0045653]; negative regulation of microtubule depolymerization [GO:0007026]; negative regulation of neuron projection development [GO:0010977]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; platelet formation [GO:0030220]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of male germ cell proliferation [GO:2000256]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; regulation of cell division [GO:0051302]; regulation of cell population proliferation [GO:0042127]; response to ischemia [GO:0002931]; spermatid development [GO:0007286]; thrombopoietin-mediated signaling pathway [GO:0038163]
Q05537	CHID_SOLLC	Basic endochitinase (EC 3.2.1.14) (Fragment)	cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; defense response to fungus [GO:0050832]; polysaccharide catabolic process [GO:0000272]
O23181	PLP3_ARATH	Patatin-like protein 3 (AtPLP3) (EC 3.1.1.-) (Patatin-related phospholipase A IIbeta) (pPLAIIb) (Phospholipase A IVC) (AtPLAIVC)	defense response [GO:0006952]; lipid catabolic process [GO:0016042]; response to abscisic acid [GO:0009737]
Q9SZ67	WRK19_ARATH	Probable WRKY transcription factor 19 (WRKY DNA-binding protein 19)	defense response [GO:0006952]
Q9XIA9	LACS2_ARATH	Long chain acyl-CoA synthetase 2 (EC 6.2.1.3) (Protein Botrytis resistant 1) (Protein LATERAL ROOT DEVELOPMENT 2)	cutin biosynthetic process [GO:0010143]; defense response to fungus [GO:0050832]; fatty acid metabolic process [GO:0006631]; lateral root formation [GO:0010311]
Q5B1T9	ATG2_EMENI	Autophagy-related protein 2	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; autophagy of peroxisome [GO:0030242]; protein transport [GO:0015031]
Q18C13	3MGH_PEPD6	Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)	base-excision repair [GO:0006284]
Q94IB9	ACER_ARATH	Alkaline ceramidase (AlkCDase) (Alkaline CDase) (AtACER) (EC 3.5.1.-) (Acyl-CoA independent ceramide synthase 1) (AtCES1) (Alkaline ceramidase YPC1) (AtYPC1) (Alkaline dihydroceramidase ACER) (Alkaline phytoceramidase) (aPHC)	"abscisic acid-activated signaling pathway [GO:0009738]; autophagy [GO:0006914]; ceramide metabolic process [GO:0006672]; defense response to bacterium [GO:0042742]; defense response, incompatible interaction [GO:0009814]; leaf senescence [GO:0010150]; positive regulation of autophagy [GO:0010508]; regulation of stomatal closure [GO:0090333]; response to abscisic acid [GO:0009737]; response to molecule of fungal origin [GO:0002238]; response to nutrient levels [GO:0031667]; response to salt stress [GO:0009651]; sphingolipid biosynthetic process [GO:0030148]; water homeostasis [GO:0030104]; wax biosynthetic process [GO:0010025]"
Q98TX3	PDCD4_CHICK	Programmed cell death protein 4 (Protein I11/6)	"cell aging [GO:0007569]; negative regulation of JUN kinase activity [GO:0043508]; negative regulation of transcription, DNA-templated [GO:0045892]"
B9JY41	DNLJ_AGRVS	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	DNA repair [GO:0006281]; DNA replication [GO:0006260]
Q9UNA0	ATS5_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5) (EC 3.4.24.-) (A disintegrin and metalloproteinase with thrombospondin motifs 11) (ADAM-TS 11) (ADAMTS-11) (ADMP-2) (Aggrecanase-2)	defense response to bacterium [GO:0042742]; extracellular matrix disassembly [GO:0022617]; negative regulation of cold-induced thermogenesis [GO:0120163]; proteolysis [GO:0006508]; tooth eruption [GO:0044691]
Q95M30	HCK_MACFA	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p56-HCK)	exocytosis [GO:0006887]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; peptidyl-tyrosine phosphorylation [GO:0018108]; phagocytosis [GO:0006909]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; positive regulation of cell population proliferation [GO:0008284]; protein autophosphorylation [GO:0046777]; regulation of cell shape [GO:0008360]; regulation of phagocytosis [GO:0050764]; regulation of podosome assembly [GO:0071801]
P9WMR5	DING_MYCTU	Probable ATP-dependent helicase DinG homolog (EC 3.6.4.12)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]
Q9LSF8	C82G1_ARATH	Cytochrome P450 82G1 (EC 1.14.-.-)	defense response [GO:0006952]; indole glucosinolate metabolic process [GO:0042343]; terpene biosynthetic process [GO:0046246]; terpenoid biosynthetic process [GO:0016114]
Q93YQ1	RTOR1_ARATH	Regulatory-associated protein of TOR 1 (Protein RAPTOR 1) (Protein RAPTOR 1B) (AtRaptor1b)	TOR signaling [GO:0031929]; cellular response to amino acid stimulus [GO:0071230]; cellular response to starvation [GO:0009267]; embryo development ending in seed dormancy [GO:0009793]; maintenance of shoot apical meristem identity [GO:0010492]; negative regulation of autophagy [GO:0010507]; positive regulation of cell growth [GO:0030307]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; regulation of cell size [GO:0008361]
P29756	CATA1_SOYBN	Catalase-1/2 (EC 1.11.1.6)	hydrogen peroxide catabolic process [GO:0042744]; response to hydrogen peroxide [GO:0042542]
P39583	YWAC_BACSU	GTP pyrophosphokinase YwaC (EC 2.7.6.5) ((p)ppGpp synthase YwaC) (Small alarmone synthase 2) (SAS 2)	guanosine tetraphosphate biosynthetic process [GO:0015970]
P19546	NEF_HV1S1	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]	pathogenesis [GO:0009405]; suppression by virus of host adaptive immune response [GO:0039504]; suppression by virus of host antigen processing and presentation of peptide antigen via MHC class I [GO:0046776]; suppression by virus of host antigen processing and presentation of peptide antigen via MHC class II [GO:0039505]; suppression by virus of host autophagy [GO:0039521]
Q8K387	UBP45_MOUSE	Ubiquitin carboxyl-terminal hydrolase 45 (EC 3.4.19.12) (Deubiquitinating enzyme 45) (Ubiquitin thioesterase 45) (Ubiquitin-specific-processing protease 45)	DNA repair [GO:0006281]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q0CA78	INO80_ASPTN	Chromatin-remodeling ATPase INO80 (EC 3.6.4.-)	DNA repair [GO:0006281]; chromatin silencing at telomere [GO:0006348]; histone exchange [GO:0043486]; nucleosome mobilization [GO:0042766]; nucleosome positioning [GO:0016584]; positive regulation of cellular response to phosphate starvation [GO:0080040]; positive regulation of chromatin silencing at centromere [GO:0090053]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of chromosome segregation [GO:0051983]; regulation of nucleosome density [GO:0060303]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]
P55265	DSRAD_HUMAN	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	RNA processing [GO:0006396]; adenosine to inosine editing [GO:0006382]; base conversion or substitution editing [GO:0016553]; cellular response to virus [GO:0098586]; defense response to virus [GO:0051607]; definitive hemopoiesis [GO:0060216]; erythrocyte differentiation [GO:0030218]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell homeostasis [GO:0061484]; innate immune response [GO:0045087]; mRNA processing [GO:0006397]; miRNA loading onto RISC involved in gene silencing by miRNA [GO:0035280]; negative regulation of RNA interference [GO:1900369]; negative regulation of apoptotic process [GO:0043066]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; osteoblast differentiation [GO:0001649]; positive regulation of viral genome replication [GO:0045070]; pre-miRNA processing [GO:0031054]; protein export from nucleus [GO:0006611]; protein import into nucleus [GO:0006606]; response to interferon-alpha [GO:0035455]; response to virus [GO:0009615]; somatic diversification of immune receptors via somatic mutation [GO:0002566]; type I interferon signaling pathway [GO:0060337]
A0LQR9	RECF_ACIC1	DNA replication and repair protein RecF	DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]
Q9NII6	KAX15_MESMA	Potassium channel toxin alpha-KTx 1.5 (BmTX1) (Neurotoxin TX1)	
O18696	PDE1_CAEEL	"Probable 3',5'-cyclic phosphodiesterase pde-1 (EC 3.1.4.17)"	chemosensory behavior [GO:0007635]; chemotaxis [GO:0006935]; determination of adult lifespan [GO:0008340]; microvillus organization [GO:0032528]; negative regulation of cGMP-mediated signaling [GO:0010754]; negative regulation of protein kinase C signaling [GO:0090038]; phototransduction [GO:0007602]; positive regulation of gene expression [GO:0010628]; regulation of establishment of cell polarity [GO:2000114]; response to alkaline pH [GO:0010446]; response to hydrogen peroxide [GO:0042542]; response to oxygen levels [GO:0070482]
Q92609	TBCD5_HUMAN	TBC1 domain family member 5	"activation of GTPase activity [GO:0090630]; autophagy [GO:0006914]; intracellular protein transport [GO:0006886]; macroautophagy [GO:0016236]; positive regulation of receptor internalization [GO:0002092]; response to starvation [GO:0042594]; retrograde transport, endosome to Golgi [GO:0042147]"
Q70AD6	CRY1_SPAJD	Cryptochrome-1	"DNA damage induced protein phosphorylation [GO:0006975]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; entrainment of circadian clock by photoperiod [GO:0043153]; gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of glucocorticoid receptor signaling pathway [GO:2000323]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; protein-chromophore linkage [GO:0018298]; regulation of DNA damage checkpoint [GO:2000001]; regulation of circadian rhythm [GO:0042752]; response to activity [GO:0014823]; response to glucagon [GO:0033762]; response to light stimulus [GO:0009416]"
P35875	PARP_DROME	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.30) (NAD(+) ADP-ribosyltransferase) (ADPRT) (Poly[ADP-ribose] synthase) (Protein ADP-ribosyltransferase Parp) (EC 2.4.2.-)	"Cajal body organization [GO:0030576]; chromatin organization [GO:0006325]; chromosome organization [GO:0051276]; dorsal/ventral axis specification, ovarian follicular epithelium [GO:0008069]; double-strand break repair [GO:0006302]; heat shock-mediated polytene chromosome puffing [GO:0035080]; innate immune response [GO:0045087]; maintenance of protein location in nucleus [GO:0051457]; metamorphosis [GO:0007552]; nucleolus organization [GO:0007000]; polytene chromosome puffing [GO:0035079]; positive regulation of antibacterial peptide biosynthetic process [GO:0006963]; positive regulation of protein localization to nucleus [GO:1900182]; protein ADP-ribosylation [GO:0006471]; protein poly-ADP-ribosylation [GO:0070212]; rRNA transcription [GO:0009303]; regulation of RNA splicing [GO:0043484]; regulation of transcription, DNA-templated [GO:0006355]"
Q96J02	ITCH_HUMAN	E3 ubiquitin-protein ligase Itchy homolog (Itch) (EC 2.3.2.26) (Atrophin-1-interacting protein 4) (AIP4) (HECT-type E3 ubiquitin transferase Itchy homolog) (NFE2-associated polypeptide 1) (NAPP1)	Notch signaling pathway [GO:0007219]; apoptotic process [GO:0006915]; defense response to virus [GO:0051607]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of JNK cascade [GO:0046329]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of defense response to virus [GO:0050687]; negative regulation of type I interferon production [GO:0032480]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of receptor catabolic process [GO:2000646]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K29-linked ubiquitination [GO:0035519]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked ubiquitination [GO:0070534]; protein autoubiquitination [GO:0051865]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of cell growth [GO:0001558]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of protein deubiquitination [GO:0090085]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral entry into host cell [GO:0046718]
F4KHQ8	NCER3_ARATH	Neutral ceramidase 3 (AtNCER3) (N-CDase 3) (NCDase 3) (EC 3.5.1.23) (Acylsphingosine deacylase 3) (N-acylsphingosine amidohydrolase 3)	cellular response to oxidative stress [GO:0034599]; ceramide catabolic process [GO:0046514]; long-chain fatty acid biosynthetic process [GO:0042759]; sphingosine biosynthetic process [GO:0046512]
P17181	INAR1_HUMAN	Interferon alpha/beta receptor 1 (IFN-R-1) (IFN-alpha/beta receptor 1) (Cytokine receptor class-II member 1) (Cytokine receptor family 2 member 1) (CRF2-1) (Type I interferon receptor 1)	cellular response to interferon-alpha [GO:0035457]; cytokine-mediated signaling pathway [GO:0019221]; receptor signaling pathway via JAK-STAT [GO:0007259]; response to lipopolysaccharide [GO:0032496]; response to virus [GO:0009615]; type I interferon signaling pathway [GO:0060337]
Q7Z7W5	DNLI4_COPCI	DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	DNA biosynthetic process [GO:0071897]; DNA ligation involved in DNA repair [GO:0051103]; DNA recombination [GO:0006310]; DNA replication [GO:0006260]
